date,year,month,temperature,wind_speed,heating_intensity,traffic_intensity,renewable_share,energy_demand,local_emission,dispersion_factor,PM10,CO2_emission,smog_risk
2021-01-01,2021,1,5.726474416266352,2.1850393436960185,27.898819144264138,85.03419828428999,13.168327054666701,76.25881807257583,41.97045466867317,2.1195267317530035,48.073497124675065,16.907527322299305,moderate
2021-01-02,2021,1,3.6209409307152196,2.399036822025032,49.64502900186749,41.698799060335496,13.058347662698722,69.55763684909091,40.98759207411687,1.9321196223810835,46.33588422211855,26.585812961519014,moderate
2021-01-03,2021,1,5.779079701565993,0.1,56.74677773237984,42.88333018068823,10.36279892186524,65.34825882267961,47.23131157444842,1.0370308483218937,99.3067307256601,35.44261534386393,high
2021-01-04,2021,1,8.206321466833487,3.4504298208173307,23.5788042961738,63.72266093915494,12.791443250034067,68.840641863312,31.873004658701866,2.307824892686487,35.548672099285106,11.272090248627576,moderate
2021-01-05,2021,1,2.736986044548103,2.7899957671591165,49.67518422951291,67.11961126077924,10.21045494440417,77.65694246509834,51.18602896547425,2.2808458104799416,56.64921831974252,31.986122089332348,moderate
2021-01-06,2021,1,2.5403046379225356,3.595380148022623,43.353380982820795,84.18531345148037,10.655843612571662,76.1354708768016,52.849427721194395,2.7321276474207505,56.58086173246552,30.186095832583156,moderate
2021-01-07,2021,1,7.78473665982781,0.1,38.94525599997476,45.1219134346492,9.647077770489442,71.95171876835118,36.76590110539056,1.1075919574147082,63.4110263955976,16.325798184709917,high
2021-01-08,2021,1,5.154956435409924,4.951462831400863,42.265791130801205,82.76965386088187,7.245863004073706,73.59639275254273,53.18150473449627,2.993001068128159,41.000025056805804,29.413720064278063,moderate
2021-01-09,2021,1,1.2510120734379324,2.301978262949234,46.74057454405069,48.38023481101708,11.820372103348475,81.51006037288377,41.99528819098211,1.9263087301558288,57.50104400154519,27.98531943861722,moderate
2021-01-10,2021,1,4.095184548310315,3.82353503069385,48.665016908192804,32.929783521427844,12.978818657509365,78.88973719749256,37.31721682694585,2.171767993959678,36.96910391657574,26.655350886854112,moderate
2021-01-11,2021,1,0.8866636016850125,1.2702083949108165,67.21812587408141,59.24687606950762,12.60874802166445,80.17379510157515,58.75425183273158,1.6198559876070493,80.76426925490264,41.13927328365043,high
2021-01-12,2021,1,0.6905392335017735,3.2779468490906503,51.74642158242718,86.76393027208204,13.366216169749489,90.32340861365887,57.98775234741912,2.331303702035637,63.47335577511062,31.268557443873785,high
2021-01-13,2021,1,2.625882735063452,1.303177674870699,54.193356699526824,60.54493120057269,11.723017230349063,74.28281986669538,51.1410500212358,1.5855223775473883,71.22041483192902,20.37916849163252,high
2021-01-14,2021,1,-4.026066146179334,1.8435400108638755,54.71898170247903,58.46649489404041,8.996635661844339,96.14199085330497,51.98212527169555,1.6306966752329946,73.7558636623296,33.7357601627709,high
2021-01-15,2021,1,-3.6456338196406044,4.913807681965863,56.462593534557435,81.37314542364729,12.95992465820898,99.18955859650856,59.34932059954485,2.9078545409397814,66.26132855691553,32.363723523228416,high
2021-01-16,2021,1,-0.3407766798092835,2.4131719700750587,59.63119192256623,48.385528762859146,6.2158523037355575,77.86323124921994,52.89807627998775,1.9036150475545475,69.24050238911857,43.746600627347384,high
2021-01-17,2021,1,-1.8737658463075517,2.9280371783094195,71.55734284405659,35.620744234636014,7.43525878137566,86.40560898261438,55.63366687914034,2.3244583189347234,70.4944690153709,46.72827101231253,high
2021-01-18,2021,1,1.9278402364365126,3.7364245270235763,53.025306199194,72.16624975404619,7.094981651272509,85.46978844426746,56.53189470031964,2.4377558353189666,56.66215920998927,35.36103362307728,moderate
2021-01-19,2021,1,-1.9168209187538667,3.3124782008022593,57.287588052699434,59.742473163597225,13.079544267259404,94.00322875991364,52.26100292124693,2.6373903286373737,51.175072022135474,42.595025416540075,moderate
2021-01-20,2021,1,-3.605671681949075,2.9235629699000754,64.00851044825953,81.00821398422605,12.521065060800893,91.07499969834676,64.32392740848742,2.2340545508122855,76.1319852822599,45.72325638505589,high
2021-01-21,2021,1,4.854061044276851,3.2064899719630486,32.86158551755014,80.61370964873133,11.009511325728475,69.64771023420663,44.62054886688575,2.0912435897858597,50.88009464805489,22.750519075072177,moderate
2021-01-22,2021,1,-0.3924000503817243,5.678180544116033,60.817122736797245,75.32006198821944,12.619896971533628,89.6429592224936,60.214197837604885,3.25199027365862,45.95230269718527,37.30340384518771,moderate
2021-01-23,2021,1,0.3173173992118763,2.750545376210668,61.26537100055758,48.61661061247017,6.624428973720791,89.21964723464191,53.857311826552625,2.0024668821608054,73.64569537412592,44.808942880716394,high
